"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","condition","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"1568","","","survey-likert-extra-labels","92","463012","0.0-35.0-2.0","37247","1B","conjoined","woman","","","W3 and W1 are kissing each other","kiss1","rating_volition","{""Q0"":3}","[0]","W1 wanted to kiss W3","W3 wanted to kiss W1"
"4429","","","survey-likert-extra-labels","93","467443","0.0-35.0-3.0-0.0","37247","1B","conjoined","woman","","","W3 and W1 are kissing each other","kiss1","rating_causation","{""Q0"":0}","[0]","W1 asked to kiss W3","W3 asked to kiss W1"
"null","Ruth and Mike are shouting at each other","","html-keyboard-response","94","469446","0.0-36.0-0.0","37247","1B","conjoined","woman","","null","W2 and M4 are shouting at each other","shout4","sentence","","","",""
"2116.000000000058","","","survey-likert-extra-labels","95","471564","0.0-36.0-2.0","37247","1B","conjoined","woman","","","W2 and M4 are shouting at each other","shout4","rating_volition","{""Q0"":0}","[0]","W2 wanted to shout at M4","M4 wanted to shout at W2"
"2061","","","survey-likert-extra-labels","96","473627","0.0-36.0-3.0-0.0","37247","1B","conjoined","woman","","","W2 and M4 are shouting at each other","shout4","rating_causation","{""Q0"":6}","[0]","W2 shouted at M4 first","M4 shouted at W2 first"
"null","Kate is chasing Beth","","html-keyboard-response","97","475630","0.0-37.0-0.0","37247","1B","conjoined","woman","","null","W1 is chasing W3","chase","sentence","","","",""
"11685","","","survey-likert-extra-labels","98","487316","0.0-37.0-1.0-0.0","37247","1B","conjoined","woman","","","W1 is chasing W3","chase","rating_causation","{""Q0"":3}","[0]","W1 is running away from W3","W3 is running away from W1"
"1571","","","survey-likert-extra-labels","99","488890","0.0-37.0-2.0","37247","1B","conjoined","woman","","","W1 is chasing W3","chase","rating_volition","{""Q0"":3}","[0]","W1 is behind W3","W3 is behind W1"
"null","Fred and Dave are dancing with each other","","html-keyboard-response","100","490892","0.0-38.0-0.0","37247","1B","conjoined","woman","","null","M1 and M3 are dancing with each other","dance2","sentence","","","",""
"1523.0000000000582","","","survey-likert-extra-labels","101","492416","0.0-38.0-2.0","37247","1B","conjoined","woman","","","M1 and M3 are dancing with each other","dance2","rating_volition","{""Q0"":3}","[0]","M1 wanted to dance with M3","M3 wanted to dance with M1"
"1372","","","survey-likert-extra-labels","102","493790","0.0-38.0-3.0-0.0","37247","1B","conjoined","woman","","","M1 and M3 are dancing with each other","dance2","rating_causation","{""Q0"":3}","[0]","M1 asked M3 to dance","M3 asked M1 to dance"
"null","Dave is hiring Kate","","html-keyboard-response","103","495792","0.0-39.0-0.0","37247","1B","conjoined","woman","","null","M3 is hiring W1","hire","sentence","","","",""
"4236","","","survey-likert-extra-labels","104","500030","0.0-39.0-2.0","37247","1B","conjoined","woman","","","M3 is hiring W1","hire","rating_volition","{""Q0"":3}","[0]","M3 is employing W1","W1 is employing M3"
"1378","","","survey-likert-extra-labels","105","501410","0.0-39.0-3.0-0.0","37247","1B","conjoined","woman","","","M3 is hiring W1","hire","rating_causation","{""Q0"":3}","[0]","M3 will work for W1","W1 will work for M3"
"null","Jane and Ruth are marrying each other","","html-keyboard-response","106","503413","0.0-40.0-0.0","37247","1B","conjoined","woman","","null","W4 and W2 are marrying each other","marry1","sentence","","","",""
"2247","","","survey-likert-extra-labels","107","505662","0.0-40.0-2.0","37247","1B","conjoined","woman","","","W4 and W2 are marrying each other","marry1","rating_volition","{""Q0"":3}","[0]","W2 wanted to marry W4","W4 wanted to marry W2"
"2446","","","survey-likert-extra-labels","108","508110","0.0-40.0-3.0-0.0","37247","1B","conjoined","woman","","","W4 and W2 are marrying each other","marry1","rating_causation","{""Q0"":3}","[0]","W2 asked to marry W4","W4 asked to marry W2"
"null","Beth and Fred are playing with each other","","html-keyboard-response","109","510112","0.0-41.0-0.0","37247","1B","conjoined","woman","","null","W3 and M1 are playing with each other","play4","sentence","","","",""
"5325","","","survey-likert-extra-labels","110","515438","0.0-41.0-2.0","37247","1B","conjoined","woman","","","W3 and M1 are playing with each other","play4","rating_volition","{""Q0"":3}","[0]","W3 wanted to play with M1","M1 wanted to play with W3"
"1572","","","survey-likert-extra-labels","111","517012","0.0-41.0-3.0-0.0","37247","1B","conjoined","woman","","","W3 and M1 are playing with each other","play4","rating_causation","{""Q0"":3}","[0]","W3 asked to play with M1","M1 asked to play with W3"
"null","Ruth is teaching Mike","","html-keyboard-response","112","519015","0.0-42.0-0.0","37247","1B","conjoined","woman","","null","W2 is teaching M4","teach","sentence","","","",""
"3213.000000000058","","","survey-likert-extra-labels","113","522229","0.0-42.0-2.0","37247","1B","conjoined","woman","","","W2 is teaching M4","teach","rating_volition","{""Q0"":0}","[0]","W2 is educating M4","M4 is educating W2"
"2808","","","survey-likert-extra-labels","114","525039","0.0-42.0-3.0-0.0","37247","1B","conjoined","woman","","","W2 is teaching M4","teach","rating_causation","{""Q0"":6}","[0]","W2 is learning from M4","M4 is learning from W2"
"null","Dave and Kate are playing with each other","","html-keyboard-response","115","527041","0.0-43.0-0.0","37247","1B","conjoined","woman","","null","M3 and W1 are playing with each other","play3","sentence","","","",""
"1553","","","survey-likert-extra-labels","116","528595","0.0-43.0-2.0","37247","1B","conjoined","woman","","","M3 and W1 are playing with each other","play3","rating_volition","{""Q0"":3}","[0]","M3 wanted to play with W1","W1 wanted to play with M3"
"1926","","","survey-likert-extra-labels","117","530523","0.0-43.0-3.0-0.0","37247","1B","conjoined","woman","","","M3 and W1 are playing with each other","play3","rating_causation","{""Q0"":3}","[0]","M3 asked to play with W1","W1 asked to play with M3"
"null","Beth and Fred are touching each other","","html-keyboard-response","118","532525","0.0-44.0-0.0","37247","1B","conjoined","woman","","null","W3 and M1 are touching each other","touch3","sentence","","","",""
"3684.9999999998836","","","survey-likert-extra-labels","119","536212","0.0-44.0-2.0","37247","1B","conjoined","woman","","","W3 and M1 are touching each other","touch3","rating_volition","{""Q0"":2}","[0]","W3 wanted to touch M1","M1 wanted to touch W3"
"2060","","","survey-likert-extra-labels","120","538274","0.0-44.0-3.0-0.0","37247","1B","conjoined","woman","","","W3 and M1 are touching each other","touch3","rating_causation","{""Q0"":2}","[0]","W3 asked to touch M1","M1 asked to touch W3"
"null","Beth is feeding Fred","","html-keyboard-response","121","540275","0.0-45.0-0.0","37247","1B","conjoined","woman","","null","W3 is feeding M1","feed","sentence","","","",""
"7025.999999999884","","","survey-likert-extra-labels","122","547303","0.0-45.0-1.0-0.0","37247","1B","conjoined","woman","","","W3 is feeding M1","feed","rating_causation","{""Q0"":6}","[0]","W3 is eating M1's food","M1 is eating W3's food"
"15015.000000000116","","","survey-likert-extra-labels","123","562319","0.0-45.0-2.0","37247","1B","conjoined","woman","","","W3 is feeding M1","feed","rating_volition","{""Q0"":0}","[0]","W3 is giving M1 food","M1 is giving W3 food"
"null","Beth and Fred are flirting with each other","","html-keyboard-response","124","564322","0.0-46.0-0.0","37247","1B","conjoined","woman","","null","W3 and M1 are flirting with each other","flirt3","sentence","","","",""
"51561","","","survey-likert-extra-labels","125","615883","0.0-46.0-1.0-0.0","37247","1B","conjoined","woman","","","W3 and M1 are flirting with each other","flirt3","rating_causation","{""Q0"":3}","[0]","W3 started flirting with M1 first","M1 started flirting with W3 first"
"73115","","","survey-likert-extra-labels","126","688998","0.0-46.0-2.0","37247","1B","conjoined","woman","","","W3 and M1 are flirting with each other","flirt3","rating_volition","{""Q0"":3}","[0]","W3 wanted to flirt with M1","M1 wanted to flirt with W3"
"null","Fred and Dave are shouting at each other","","html-keyboard-response","127","691000","0.0-47.0-0.0","37247","1B","conjoined","woman","","null","M1 and M3 are shouting at each other","shout2","sentence","","","",""
