rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,condition,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
4529,,,survey-likert-extra-labels,86,363488,0.0-33.0-2.0,63043,4B,conjoined,woman,,,M2 is playing with M4,play2,rating_volition,"{""Q0"":6}",[0],M4 wanted to play with M2,M2 wanted to play with M4
2663,,,survey-likert-extra-labels,87,366153,0.0-33.0-3.0-0.0,63043,4B,conjoined,woman,,,M2 is playing with M4,play2,rating_causation,"{""Q0"":6}",[0],M4 asked to play with M2,M2 asked to play with M4
null,Mike is kissing Ruth,,html-keyboard-response,88,368156,0.0-34.0-0.0,63043,4B,conjoined,woman,,null,M4 is kissing W2,kiss4,sentence,,,,
2254,,,survey-likert-extra-labels,89,370412,0.0-34.0-2.0,63043,4B,conjoined,woman,,,M4 is kissing W2,kiss4,rating_volition,"{""Q0"":0}",[0],M4 wanted to kiss W2,W2 wanted to kiss M4
2149,,,survey-likert-extra-labels,90,372563,0.0-34.0-3.0-0.0,63043,4B,conjoined,woman,,,M4 is kissing W2,kiss4,rating_causation,"{""Q0"":0}",[0],M4 asked to kiss W2,W2 asked to kiss M4
null,Luke is arguing with Jane,,html-keyboard-response,91,374567,0.0-35.0-0.0,63043,4B,conjoined,woman,,null,M2 is arguing with W4,argue4,sentence,,,,
6639,,,survey-likert-extra-labels,92,381207,0.0-35.0-1.0-0.0,63043,4B,conjoined,woman,,,M2 is arguing with W4,argue4,rating_causation,"{""Q0"":6}",[0],W4 started an argument with M2,M2 started an argument with W4
4176,,,survey-likert-extra-labels,93,385386,0.0-35.0-2.0,63043,4B,conjoined,woman,,,M2 is arguing with W4,argue4,rating_volition,"{""Q0"":6}",[0],W4 wanted to argue with M2,M2 wanted to argue with W4
null,Jane is flirting with Ruth,,html-keyboard-response,94,387390,0.0-36.0-0.0,63043,4B,conjoined,woman,,null,W4 is flirting with W2,flirt1,sentence,,,,
6172,,,survey-likert-extra-labels,95,393564,0.0-36.0-2.0,63043,4B,conjoined,woman,,,W4 is flirting with W2,flirt1,rating_volition,"{""Q0"":0}",[0],W4 wanted to flirt with W2,W2 wanted to flirt with W4
6226,,,survey-likert-extra-labels,96,399794,0.0-36.0-3.0-0.0,63043,4B,conjoined,woman,,,W4 is flirting with W2,flirt1,rating_causation,"{""Q0"":0}",[0],W4 started flirting with W2 first,W2 started flirting with W4 first
null,Mike is marrying Luke,,html-keyboard-response,97,401797,0.0-37.0-0.0,63043,4B,conjoined,woman,,null,M4 is marrying M2,marry2,sentence,,,,
9543,,,survey-likert-extra-labels,98,411342,0.0-37.0-1.0-0.0,63043,4B,conjoined,woman,,,M4 is marrying M2,marry2,rating_causation,"{""Q0"":3}",[0],M4 asked to marry M2,M2 asked to marry M4
5047,,,survey-likert-extra-labels,99,416394,0.0-37.0-2.0,63043,4B,conjoined,woman,,,M4 is marrying M2,marry2,rating_volition,"{""Q0"":0}",[0],M4 wanted to marry M2,M2 wanted to marry M4
null,Mike is dancing with Ruth,,html-keyboard-response,100,418397,0.0-38.0-0.0,63043,4B,conjoined,woman,,null,M4 is dancing with W2,dance3,sentence,,,,
11441,,,survey-likert-extra-labels,101,429840,0.0-38.0-1.0-0.0,63043,4B,conjoined,woman,,,M4 is dancing with W2,dance3,rating_causation,"{""Q0"":3}",[0],M4 asked W2 to dance,W2 asked M4 to dance
8177,,,survey-likert-extra-labels,102,438019,0.0-38.0-2.0,63043,4B,conjoined,woman,,,M4 is dancing with W2,dance3,rating_volition,"{""Q0"":0}",[0],M4 wanted to dance with W2,W2 wanted to dance with M4
null,Jane is dancing with Luke,,html-keyboard-response,103,440022,0.0-39.0-0.0,63043,4B,conjoined,woman,,null,W4 is dancing with M2,dance4,sentence,,,,
8492,,,survey-likert-extra-labels,104,448515,0.0-39.0-1.0-0.0,63043,4B,conjoined,woman,,,W4 is dancing with M2,dance4,rating_causation,"{""Q0"":2}",[0],W4 asked M2 to dance,M2 asked W4 to dance
3754,,,survey-likert-extra-labels,105,452272,0.0-39.0-2.0,63043,4B,conjoined,woman,,,W4 is dancing with M2,dance4,rating_volition,"{""Q0"":0}",[0],W4 wanted to dance with M2,M2 wanted to dance with W4
null,Luke is reminding Jane,,html-keyboard-response,106,454276,0.0-40.0-0.0,63043,4B,conjoined,woman,,null,M2 is reminding W4,remind,sentence,,,,
5243,,,survey-likert-extra-labels,107,459522,0.0-40.0-2.0,63043,4B,conjoined,woman,,,M2 is reminding W4,remind,rating_volition,"{""Q0"":0}",[0],M2 is telling W4 again,W4 is telling M2 again
15866,,,survey-likert-extra-labels,108,475390,0.0-40.0-3.0-0.0,63043,4B,conjoined,woman,,,M2 is reminding W4,remind,rating_causation,"{""Q0"":3}",[0],M2 is remembering,W4 is remembering
null,Fred is shouting at Dave,,html-keyboard-response,109,477393,0.0-41.0-0.0,63043,4B,conjoined,woman,,null,M1 is shouting at M3,shout2,sentence,,,,
5921,,,survey-likert-extra-labels,110,483315,0.0-41.0-2.0,63043,4B,conjoined,woman,,,M1 is shouting at M3,shout2,rating_volition,"{""Q0"":6}",[0],M3 wanted to shout at M1,M1 wanted to shout at M3
6496,,,survey-likert-extra-labels,111,489813,0.0-41.0-3.0-0.0,63043,4B,conjoined,woman,,,M1 is shouting at M3,shout2,rating_causation,"{""Q0"":3}",[0],M3 shouted at M1 first,M1 shouted at M3 first
null,Beth is kissing Kate,,html-keyboard-response,112,491817,0.0-42.0-0.0,63043,4B,conjoined,woman,,null,W3 is kissing W1,kiss1,sentence,,,,
7824,,,survey-likert-extra-labels,113,499643,0.0-42.0-2.0,63043,4B,conjoined,woman,,,W3 is kissing W1,kiss1,rating_volition,"{""Q0"":0}",[0],W3 wanted to kiss W1,W1 wanted to kiss W3
4414,,,survey-likert-extra-labels,114,504060,0.0-42.0-3.0-0.0,63043,4B,conjoined,woman,,,W3 is kissing W1,kiss1,rating_causation,"{""Q0"":3}",[0],W3 asked to kiss W1,W1 asked to kiss W3
null,Ruth is arguing with Mike,,html-keyboard-response,115,506064,0.0-43.0-0.0,63043,4B,conjoined,woman,,null,W2 is arguing with M4,argue3,sentence,,,,
5835,,,survey-likert-extra-labels,116,511901,0.0-43.0-2.0,63043,4B,conjoined,woman,,,W2 is arguing with M4,argue3,rating_volition,"{""Q0"":6}",[0],M4 wanted to argue with W2,W2 wanted to argue with M4
9967,,,survey-likert-extra-labels,117,521870,0.0-43.0-3.0-0.0,63043,4B,conjoined,woman,,,W2 is arguing with M4,argue3,rating_causation,"{""Q0"":3}",[0],M4 started an argument with W2,W2 started an argument with M4
null,Kate is marrying Dave,,html-keyboard-response,118,523874,0.0-44.0-0.0,63043,4B,conjoined,woman,,null,W1 is marrying M3,marry3,sentence,,,,
5712,,,survey-likert-extra-labels,119,529588,0.0-44.0-2.0,63043,4B,conjoined,woman,,,W1 is marrying M3,marry3,rating_volition,"{""Q0"":3}",[0],W1 wanted to marry M3,M3 wanted to marry W1
3301,,,survey-likert-extra-labels,120,532893,0.0-44.0-3.0-0.0,63043,4B,conjoined,woman,,,W1 is marrying M3,marry3,rating_causation,"{""Q0"":0}",[0],W1 asked to marry M3,M3 asked to marry W1
null,Jane is talking to Luke,,html-keyboard-response,121,534897,0.0-45.0-0.0,63043,4B,conjoined,woman,,null,W4 is talking to M2,talk4,sentence,,,,
6619,,,survey-likert-extra-labels,122,541518,0.0-45.0-2.0,63043,4B,conjoined,woman,,,W4 is talking to M2,talk4,rating_volition,"{""Q0"":0}",[0],W4 wanted to talk to M2,M2 wanted to talk to W4
3871,,,survey-likert-extra-labels,123,545391,0.0-45.0-3.0-0.0,63043,4B,conjoined,woman,,,W4 is talking to M2,talk4,rating_causation,"{""Q0"":3}",[0],W4 started a conversation with M2,M2 started a conversation with W4
null,Luke is posing for Mike,,html-keyboard-response,124,547395,0.0-46.0-0.0,63043,4B,conjoined,woman,,null,M2 is posing for M4,pose,sentence,,,,
6051,,,survey-likert-extra-labels,125,553448,0.0-46.0-2.0,63043,4B,conjoined,woman,,,M2 is posing for M4,pose,rating_volition,"{""Q0"":0}",[0],M2 is modelling for M4,M4 is modelling for M2
6833,,,survey-likert-extra-labels,126,560284,0.0-46.0-3.0-0.0,63043,4B,conjoined,woman,,,M2 is posing for M4,pose,rating_causation,"{""Q0"":6}",[0],M2 is photographing M4,M4 is photographing M2
null,Ruth is playing with Jane,,html-keyboard-response,127,562288,0.0-47.0-0.0,63043,4B,conjoined,woman,,null,W2 is playing with W4,play1,sentence,,,,
8888,,,survey-likert-extra-labels,128,571177,0.0-47.0-2.0,63043,4B,conjoined,woman,,,W2 is playing with W4,play1,rating_volition,"{""Q0"":6}",[0],W4 wanted to play with W2,W2 wanted to play with W4
3904,,,survey-likert-extra-labels,129,575083,0.0-47.0-3.0-0.0,63043,4B,conjoined,woman,,,W2 is playing with W4,play1,rating_causation,"{""Q0"":3}",[0],W4 asked to play with W2,W2 asked to play with W4
null,Luke is fighting with Mike,,html-keyboard-response,130,577087,0.0-48.0-0.0,63043,4B,conjoined,woman,,null,M2 is fighting with M4,fight2,sentence,,,,
4838,,,survey-likert-extra-labels,131,581927,0.0-48.0-2.0,63043,4B,conjoined,woman,,,M2 is fighting with M4,fight2,rating_volition,"{""Q0"":6}",[0],M4 wanted to fight M2,M2 wanted to fight M4
