rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
null,Dave is being challenged by Mike,NA,NA,NA,html-keyboard-response,61,523976,0.0-25.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M2 is being challenged by M4,challenge2,sentence,NA,NA,NA,NA
14705,NA,NA,NA,NA,survey-likert-extra-labels,62,538682,0.0-25.0-1.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is being challenged by M4,challenge2,rating_causation,"{""Q0"":2}",[0],M2 started challenging M4 first,M4 started challenging M2 first
13357,NA,NA,NA,NA,survey-likert-extra-labels,63,552040,0.0-25.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is being challenged by M4,challenge2,rating_volition,"{""Q0"":6}",[0],M2 wanted to challenge M4,M4 wanted to challenge M2
null,Fred is being shouted at by Luke,NA,NA,NA,html-keyboard-response,64,554042,0.0-26.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M1 is being shouted at by M3,shout2,sentence,NA,NA,NA,NA
8423,NA,NA,NA,NA,survey-likert-extra-labels,65,562466,0.0-26.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M1 is being shouted at by M3,shout2,rating_volition,"{""Q0"":6}",[0],M1 wanted to shout at M3,M3 wanted to shout at M1
6597,NA,NA,NA,NA,survey-likert-extra-labels,66,569065,0.0-26.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M1 is being shouted at by M3,shout2,rating_causation,"{""Q0"":2}",[0],M1 shouted at M3 first,M3 shouted at M1 first
null,Luke is being looked at by Fred,NA,NA,NA,html-keyboard-response,67,571109,0.0-27.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M3 is being looked at by M1,look2,sentence,NA,NA,NA,NA
12225,NA,NA,NA,NA,survey-likert-extra-labels,68,583336,0.0-27.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M3 is being looked at by M1,look2,rating_volition,"{""Q0"":0}",[0],M1 wanted to look at M3,M3 wanted to look at M1
8467,NA,NA,NA,NA,survey-likert-extra-labels,69,591803,0.0-27.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M3 is being looked at by M1,look2,rating_causation,"{""Q0"":1}",[0],M1 looked at M3 first,M3 looked at M1 first
null,Jane is being looked at by Beth,NA,NA,NA,html-keyboard-response,70,593810,0.0-28.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W3 is being looked at by W1,look1,sentence,NA,NA,NA,NA
7259,NA,NA,NA,NA,survey-likert-extra-labels,71,601070,0.0-28.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W3 is being looked at by W1,look1,rating_volition,"{""Q0"":0}",[0],W1 wanted to look at W3,W3 wanted to look at W1
6977,NA,NA,NA,NA,survey-likert-extra-labels,72,608048,0.0-28.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W3 is being looked at by W1,look1,rating_causation,"{""Q0"":0}",[0],W1 looked at W3 first,W3 looked at W1 first
null,Fred is being hugged by Luke,NA,NA,NA,html-keyboard-response,73,610059,0.0-29.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M1 is being hugged by M3,hug2,sentence,NA,NA,NA,NA
6232,NA,NA,NA,NA,survey-likert-extra-labels,74,616292,0.0-29.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M1 is being hugged by M3,hug2,rating_volition,"{""Q0"":6}",[0],M1 wanted to hug M3,M3 wanted to hug M1
21957,NA,NA,NA,NA,survey-likert-extra-labels,75,638249,0.0-29.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M1 is being hugged by M3,hug2,rating_causation,"{""Q0"":4}",[0],M1 asked to hug M3,M3 asked to hug M1
null,Luke is being seduced by Beth,NA,NA,NA,html-keyboard-response,76,640258,0.0-30.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M3 is being seduced by W1,seduce4,sentence,NA,NA,NA,NA
12479,NA,NA,NA,NA,survey-likert-extra-labels,77,652737,0.0-30.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M3 is being seduced by W1,seduce4,rating_volition,"{""Q0"":6}",[0],M3 wanted to seducing W1,W1 wanted to seducing M3
6124,NA,NA,NA,NA,survey-likert-extra-labels,78,658863,0.0-30.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M3 is being seduced by W1,seduce4,rating_causation,"{""Q0"":4}",[0],M3 started seducing W1 first,W1 started seducing M3 first
null,Jane is being kissed by Beth,NA,NA,NA,html-keyboard-response,79,660870,0.0-31.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W3 is being kissed by W1,kiss1,sentence,NA,NA,NA,NA
9765,NA,NA,NA,NA,survey-likert-extra-labels,80,670635,0.0-31.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W3 is being kissed by W1,kiss1,rating_volition,"{""Q0"":0}",[0],W1 wanted to kiss W3,W3 wanted to kiss W1
4763,NA,NA,NA,NA,survey-likert-extra-labels,81,675399,0.0-31.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W3 is being kissed by W1,kiss1,rating_causation,"{""Q0"":3}",[0],W1 asked to kiss W3,W3 asked to kiss W1
null,Dave is being opposed by Ruth,NA,NA,NA,html-keyboard-response,82,677404,0.0-32.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M2 is being opposed by W4,oppose4,sentence,NA,NA,NA,NA
6966,NA,NA,NA,NA,survey-likert-extra-labels,83,684370,0.0-32.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is being opposed by W4,oppose4,rating_volition,"{""Q0"":6}",[0],M2 wanted to oppose W4,W4 wanted to oppose M2
13605,NA,NA,NA,NA,survey-likert-extra-labels,84,697977,0.0-32.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is being opposed by W4,oppose4,rating_causation,"{""Q0"":6}",[0],M2 started opposing W4,W4 started opposing M2
null,Beth is being hugged by Jane,NA,NA,NA,html-keyboard-response,85,699986,0.0-33.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W1 is being hugged by W3,hug1,sentence,NA,NA,NA,NA
12305,NA,NA,NA,NA,survey-likert-extra-labels,86,712293,0.0-33.0-1.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W1 is being hugged by W3,hug1,rating_causation,"{""Q0"":2}",[0],W1 asked to hug W3,W3 asked to hug W1
