"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"4910","","","survey-likert-extra-labels","68","1622244","0.0-27.0-2.0","15044","1B","woman","","","W2 is shouting at M4","shout4","rating_volition","{""Q0"":3}","[0]","W2 wanted to shout at M4","M4 wanted to shout at W2"
"8379.999999999884","","","survey-likert-extra-labels","69","1630629","0.0-27.0-3.0-0.0","15044","1B","woman","","","W2 is shouting at M4","shout4","rating_causation","{""Q0"":3}","[0]","W2 shouted at M4 first","M4 shouted at W2 first"
"null","Beth is flirting with Fred","","html-keyboard-response","70","1632635","0.0-28.0-0.0","15044","1B","woman","","null","W3 is flirting with M1","flirt3","sentence","","","",""
"3231.9999999998836","","","survey-likert-extra-labels","71","1635873","0.0-28.0-2.0","15044","1B","woman","","","W3 is flirting with M1","flirt3","rating_volition","{""Q0"":1}","[0]","W3 wanted to flirt with M1","M1 wanted to flirt with W3"
"11496.000000000116","","","survey-likert-extra-labels","72","1647375","0.0-28.0-3.0-0.0","15044","1B","woman","","","W3 is flirting with M1","flirt3","rating_causation","{""Q0"":3}","[0]","W3 started flirting with M1 first","M1 started flirting with W3 first"
"null","Mike is arguing with Ruth","","html-keyboard-response","73","1649379","0.0-29.0-0.0","15044","1B","woman","","null","M4 is arguing with W2","argue3","sentence","","","",""
"4424","","","survey-likert-extra-labels","74","1653809","0.0-29.0-1.0-0.0","15044","1B","woman","","","M4 is arguing with W2","argue3","rating_causation","{""Q0"":3}","[0]","W2 started an argument with M4","M4 started an argument with W2"
"3148","","","survey-likert-extra-labels","75","1656962","0.0-29.0-2.0","15044","1B","woman","","","M4 is arguing with W2","argue3","rating_volition","{""Q0"":3}","[0]","W2 wanted to argue with M4","M4 wanted to argue with W2"
"null","Dave is flirting with Kate","","html-keyboard-response","76","1658967","0.0-30.0-0.0","15044","1B","woman","","null","M3 is flirting with W1","flirt4","sentence","","","",""
"3008","","","survey-likert-extra-labels","77","1661982","0.0-30.0-2.0","15044","1B","woman","","","M3 is flirting with W1","flirt4","rating_volition","{""Q0"":1}","[0]","M3 wanted to flirt with W1","W1 wanted to flirt with M3"
"2424","","","survey-likert-extra-labels","78","1664412","0.0-30.0-3.0-0.0","15044","1B","woman","","","M3 is flirting with W1","flirt4","rating_causation","{""Q0"":3}","[0]","M3 started flirting with W1 first","W1 started flirting with M3 first"
"null","Dave is touching Kate","","html-keyboard-response","79","1666417","0.0-31.0-0.0","15044","1B","woman","","null","M3 is touching W1","touch4","sentence","","","",""
"1831","","","survey-likert-extra-labels","80","1668254","0.0-31.0-2.0","15044","1B","woman","","","M3 is touching W1","touch4","rating_volition","{""Q0"":2}","[0]","M3 wanted to touch W1","W1 wanted to touch M3"
"5633","","","survey-likert-extra-labels","81","1673892","0.0-31.0-3.0-0.0","15044","1B","woman","","","M3 is touching W1","touch4","rating_causation","{""Q0"":3}","[0]","M3 asked to touch W1","W1 asked to touch M3"
"null","Luke is playing with Mike","","html-keyboard-response","82","1675897","0.0-32.0-0.0","15044","1B","woman","","null","M2 is playing with M4","play2","sentence","","","",""
"6529","","","survey-likert-extra-labels","83","1682433","0.0-32.0-2.0","15044","1B","woman","","","M2 is playing with M4","play2","rating_volition","{""Q0"":1}","[0]","M2 wanted to play with M4","M4 wanted to play with M2"
