"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"9270.099999965169","","","survey-likert-extra-labels","125","768731","0.0-46.0-1.0-0.0","55890","1B","man","","","W2 is carrying W4","carry","rating_causation","{""Q0"":6}","[0]","W2 is being moved by W4","W4 is being moved by W2"
"6733.99999999674","","","survey-likert-extra-labels","126","775468","0.0-46.0-2.0","55890","1B","man","","","W2 is carrying W4","carry","rating_volition","{""Q0"":0}","[0]","W2 is transporting W4","W4 is transporting W2"
"null","Ruth is shouting at Mike","","html-keyboard-response","127","777470","0.0-47.0-0.0","55890","1B","man","","null","W2 is shouting at M4","shout4","sentence","","","",""
"4977.200000023004","","","survey-likert-extra-labels","128","782449","0.0-47.0-2.0","55890","1B","man","","","W2 is shouting at M4","shout4","rating_volition","{""Q0"":0}","[0]","W2 wanted to shout at M4","M4 wanted to shout at W2"
"4109.700000029989","","","survey-likert-extra-labels","129","786561","0.0-47.0-3.0-0.0","55890","1B","man","","","W2 is shouting at M4","shout4","rating_causation","{""Q0"":0}","[0]","W2 shouted at M4 first","M4 shouted at W2 first"
"null","Luke is touching Mike","","html-keyboard-response","130","788563","0.0-48.0-0.0","55890","1B","man","","null","M2 is touching M4","touch2","sentence","","","",""
"3904.7000000136904","","","survey-likert-extra-labels","131","792469","0.0-48.0-2.0","55890","1B","man","","","M2 is touching M4","touch2","rating_volition","{""Q0"":0}","[0]","M2 wanted to touch M4","M4 wanted to touch M2"
"4421.60000000149","","","survey-likert-extra-labels","132","796893","0.0-48.0-3.0-0.0","55890","1B","man","","","M2 is touching M4","touch2","rating_causation","{""Q0"":0}","[0]","M2 asked to touch M4","M4 asked to touch M2"
"null","Luke is reminding Jane","","html-keyboard-response","133","798896","0.0-49.0-0.0","55890","1B","man","","null","M2 is reminding W4","remind","sentence","","","",""
"13757.600000011735","","","survey-likert-extra-labels","134","812655","0.0-49.0-1.0-0.0","55890","1B","man","","","M2 is reminding W4","remind","rating_causation","{""Q0"":0}","[0]","M2 is remembering","W4 is remembering"
"8389.499999990221","","","survey-likert-extra-labels","135","821046","0.0-49.0-2.0","55890","1B","man","","","M2 is reminding W4","remind","rating_volition","{""Q0"":0}","[0]","M2 is telling W4 again","W4 is telling M2 again"
"null","Dave is playing with Kate","","html-keyboard-response","136","823048","0.0-50.0-0.0","55890","1B","man","","null","M3 is playing with W1","play3","sentence","","","",""
"4393.999999971129","","","survey-likert-extra-labels","137","827443","0.0-50.0-2.0","55890","1B","man","","","M3 is playing with W1","play3","rating_volition","{""Q0"":0}","[0]","M3 wanted to play with W1","W1 wanted to play with M3"
"3012.400000006892","","","survey-likert-extra-labels","138","830458","0.0-50.0-3.0-0.0","55890","1B","man","","","M3 is playing with W1","play3","rating_causation","{""Q0"":0}","[0]","M3 asked to play with W1","W1 asked to play with M3"
"null","Kate is marrying Dave","","html-keyboard-response","139","832461","0.0-51.0-0.0","55890","1B","man","","null","W1 is marrying M3","marry3","sentence","","","",""
"10094.700000016019","","","survey-likert-extra-labels","140","842557","0.0-51.0-2.0","55890","1B","man","","","W1 is marrying M3","marry3","rating_volition","{""Q0"":6}","[0]","M3 wanted to marry W1","W1 wanted to marry M3"
"12051.899999962188","","","survey-likert-extra-labels","141","854610","0.0-51.0-3.0-0.0","55890","1B","man","","","W1 is marrying M3","marry3","rating_causation","{""Q0"":0}","[0]","M3 asked to marry W1","W1 asked to marry M3"
"null","Jane is fighting with Ruth","","html-keyboard-response","142","856613","0.0-52.0-0.0","55890","1B","man","","null","W4 is fighting with W2","fight1","sentence","","","",""
"13078.50000000326","","","survey-likert-extra-labels","143","869693","0.0-52.0-1.0-0.0","55890","1B","man","","","W4 is fighting with W2","fight1","rating_causation","{""Q0"":3}","[0]","W2 started the fight with W4","W4 started the fight with W2"
"5454.29999998305","","","survey-likert-extra-labels","144","875149","0.0-52.0-2.0","55890","1B","man","","","W4 is fighting with W2","fight1","rating_volition","{""Q0"":6}","[0]","W2 wanted to fight W4","W4 wanted to fight W2"
"null","Ruth is teaching Mike","","html-keyboard-response","145","877152","0.0-53.0-0.0","55890","1B","man","","null","W2 is teaching M4","teach","sentence","","","",""
"4617.300000041723","","","survey-likert-extra-labels","146","881771","0.0-53.0-2.0","55890","1B","man","","","W2 is teaching M4","teach","rating_volition","{""Q0"":0}","[0]","W2 is educating M4","M4 is educating W2"
"4429.999999993015","","","survey-likert-extra-labels","147","886202","0.0-53.0-3.0-0.0","55890","1B","man","","","W2 is teaching M4","teach","rating_causation","{""Q0"":6}","[0]","W2 is learning from M4","M4 is learning from W2"
"null","Luke is talking to Jane","","html-keyboard-response","148","888205","0.0-54.0-0.0","55890","1B","man","","null","M2 is talking to W4","talk4","sentence","","","",""
"5642.099999997299","","","survey-likert-extra-labels","149","893848","0.0-54.0-1.0-0.0","55890","1B","man","","","M2 is talking to W4","talk4","rating_causation","{""Q0"":0}","[0]","M2 started a conversation with W4","W4 started a conversation with M2"
"4149.399999994785","","","survey-likert-extra-labels","150","898000","0.0-54.0-2.0","55890","1B","man","","","M2 is talking to W4","talk4","rating_volition","{""Q0"":0}","[0]","M2 wanted to talk to W4","W4 wanted to talk to M2"
"3292.399999976624","<p>Thank you for completing that task.</p><p>The final part of this session is a short questionnaire.</p><p>Press Continue.</p>","0","html-button-response","151","901295","0.0-55.0","55890","1B","man","","","","","","","","",""
"38651.10000001732","","","survey-text","152","940952","0.0-56.0","55890","1B","man","","","","","demographics","{""Q0"":""28"",""Q1"":""English"",""Q2"":""English"",""Q3"":""England"",""Q4"":""British"",""Q5"":""white"",""Q6"":""male""}","","",""
"4093.899999978021","<p>Have you lived in the UK for the last 5 years or more?</p>","0","html-button-response","153","945047","0.0-57.0","55890","1B","man","","","","","fiveyears","","","",""
"5178.599999984726","","","survey-text","154","951229","0.0-58.0","55890","1B","man","","","","","worker_id","{""Q0"":""5cdac28b1d2402001a3c681f""}","","",""
"64927.800000004936","","","external-html","155","1016999","0.0-59.0","55890","1B","man","debrief.html","","","","","","","",""
