"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"2110.4499999927357","","","survey-likert-extra-labels","69","1171218","0.0-27.0-3.0-0.0","618","1A","man","","","M2 is dancing with W4","dance4","rating_causation","{""Q0"":3}","[0]","M2 asked W4 to dance","W4 asked M2 to dance"
"null","Luke is shouting at Fred","","html-keyboard-response","70","1173221","0.0-28.0-0.0","618","1A","man","","null","M1 is shouting at M3","shout2","sentence","","","",""
"2653.279999998631","","","survey-likert-extra-labels","71","1175876","0.0-28.0-1.0-0.0","618","1A","man","","","M1 is shouting at M3","shout2","rating_causation","{""Q0"":3}","[0]","M1 shouted at M3 first","M3 shouted at M1 first"
"2969.9049999907147","","","survey-likert-extra-labels","72","1178848","0.0-28.0-2.0","618","1A","man","","","M1 is shouting at M3","shout2","rating_volition","{""Q0"":3}","[0]","M1 wanted to shout at M3","M3 wanted to shout at M1"
"null","Mike is posing for Dave","","html-keyboard-response","73","1180851","0.0-29.0-0.0","618","1A","man","","null","M2 is posing for M4","pose","sentence","","","",""
"44202.245000007795","","","survey-likert-extra-labels","74","1225055","0.0-29.0-1.0-0.0","618","1A","man","","","M2 is posing for M4","pose","rating_causation","{""Q0"":6}","[0]","M2 is photographing M4","M4 is photographing M2"
"5081.8100000033155","","","survey-likert-extra-labels","75","1230139","0.0-29.0-2.0","618","1A","man","","","M2 is posing for M4","pose","rating_volition","{""Q0"":0}","[0]","M2 is modelling for M4","M4 is modelling for M2"
"null","Mike is reminding Beth","","html-keyboard-response","76","1232142","0.0-30.0-0.0","618","1A","man","","null","M2 is reminding W4","remind","sentence","","","",""
"3591.014999998035","","","survey-likert-extra-labels","77","1235734","0.0-30.0-1.0-0.0","618","1A","man","","","M2 is reminding W4","remind","rating_causation","{""Q0"":6}","[0]","M2 is remembering","W4 is remembering"
"5280.500000007916","","","survey-likert-extra-labels","78","1241017","0.0-30.0-2.0","618","1A","man","","","M2 is reminding W4","remind","rating_volition","{""Q0"":0}","[0]","M2 is telling W4 again","W4 is telling M2 again"
"null","Mike is flirting with Dave","","html-keyboard-response","79","1243019","0.0-31.0-0.0","618","1A","man","","null","M2 is flirting with M4","flirt2","sentence","","","",""
"2469.319999989355","","","survey-likert-extra-labels","80","1245490","0.0-31.0-1.0-0.0","618","1A","man","","","M2 is flirting with M4","flirt2","rating_causation","{""Q0"":3}","[0]","M2 started flirting with M4 first","M4 started flirting with M2 first"
"1545.5650000076275","","","survey-likert-extra-labels","81","1247038","0.0-31.0-2.0","618","1A","man","","","M2 is flirting with M4","flirt2","rating_volition","{""Q0"":3}","[0]","M2 wanted to flirt with M4","M4 wanted to flirt with M2"
"null","Luke is talking to Fred","","html-keyboard-response","82","1249040","0.0-32.0-0.0","618","1A","man","","null","M1 is talking to M3","talk2","sentence","","","",""
"2656.8550000083633","","","survey-likert-extra-labels","83","1251698","0.0-32.0-1.0-0.0","618","1A","man","","","M1 is talking to M3","talk2","rating_causation","{""Q0"":3}","[0]","M1 started a conversation with M3","M3 started a conversation with M1"
"1683.1349999993108","","","survey-likert-extra-labels","84","1253384","0.0-32.0-2.0","618","1A","man","","","M1 is talking to M3","talk2","rating_volition","{""Q0"":3}","[0]","M1 wanted to talk to M3","M3 wanted to talk to M1"
"null","Kate is flirting with Luke","","html-keyboard-response","85","1255387","0.0-33.0-0.0","618","1A","man","","null","W3 is flirting with M1","flirt3","sentence","","","",""
"1882.670000006212","","","survey-likert-extra-labels","86","1257271","0.0-33.0-1.0-0.0","618","1A","man","","","W3 is flirting with M1","flirt3","rating_causation","{""Q0"":3}","[0]","W3 started flirting with M1 first","M1 started flirting with W3 first"
"1600.070000000298","","","survey-likert-extra-labels","87","1258873","0.0-33.0-2.0","618","1A","man","","","W3 is flirting with M1","flirt3","rating_volition","{""Q0"":3}","[0]","W3 wanted to flirt with M1","M1 wanted to flirt with W3"
"null","Fred is kissing Luke","","html-keyboard-response","88","1260876","0.0-34.0-0.0","618","1A","man","","null","M3 is kissing M1","kiss2","sentence","","","",""
"1181.5449999994598","","","survey-likert-extra-labels","89","1262059","0.0-34.0-1.0-0.0","618","1A","man","","","M3 is kissing M1","kiss2","rating_causation","{""Q0"":3}","[0]","M1 asked to kiss M3","M3 asked to kiss M1"
"2364.989999987418","","","survey-likert-extra-labels","90","1264426","0.0-34.0-2.0","618","1A","man","","","M3 is kissing M1","kiss2","rating_volition","{""Q0"":3}","[0]","M1 wanted to kiss M3","M3 wanted to kiss M1"
"null","Kate is arguing with Ruth","","html-keyboard-response","91","1266428","0.0-35.0-0.0","618","1A","man","","null","W3 is arguing with W1","argue1","sentence","","","",""
"1638.350000008475","","","survey-likert-extra-labels","92","1268068","0.0-35.0-1.0-0.0","618","1A","man","","","W3 is arguing with W1","argue1","rating_causation","{""Q0"":3}","[0]","W1 started an argument with W3","W3 started an argument with W1"
"2326.170000000391","","","survey-likert-extra-labels","93","1270396","0.0-35.0-2.0","618","1A","man","","","W3 is arguing with W1","argue1","rating_volition","{""Q0"":3}","[0]","W1 wanted to argue with W3","W3 wanted to argue with W1"
"null","Kate is feeding Luke","","html-keyboard-response","94","1272399","0.0-36.0-0.0","618","1A","man","","null","W3 is feeding M1","feed","sentence","","","",""
"6428.31000000285","","","survey-likert-extra-labels","95","1278828","0.0-36.0-1.0-0.0","618","1A","man","","","W3 is feeding M1","feed","rating_causation","{""Q0"":6}","[0]","W3 is eating M1's food","M1 is eating W3's food"
"3427.665000010282","","","survey-likert-extra-labels","96","1282258","0.0-36.0-2.0","618","1A","man","","","W3 is feeding M1","feed","rating_volition","{""Q0"":0}","[0]","W3 is giving M1 food","M1 is giving W3 food"
"null","Jane is carrying Beth","","html-keyboard-response","97","1284261","0.0-37.0-0.0","618","1A","man","","null","W2 is carrying W4","carry","sentence","","","",""
"4424.599999998463","","","survey-likert-extra-labels","98","1288689","0.0-37.0-2.0","618","1A","man","","","W2 is carrying W4","carry","rating_volition","{""Q0"":0}","[0]","W2 is transporting W4","W4 is transporting W2"
"6683.900000003632","","","survey-likert-extra-labels","99","1295375","0.0-37.0-3.0-0.0","618","1A","man","","","W2 is carrying W4","carry","rating_causation","{""Q0"":6}","[0]","W2 is being moved by W4","W4 is being moved by W2"
"null","Fred is touching Ruth","","html-keyboard-response","100","1297379","0.0-38.0-0.0","618","1A","man","","null","M3 is touching W1","touch4","sentence","","","",""
"2673.5399999888614","","","survey-likert-extra-labels","101","1300054","0.0-38.0-1.0-0.0","618","1A","man","","","M3 is touching W1","touch4","rating_causation","{""Q0"":3}","[0]","M3 asked to touch W1","W1 asked to touch M3"
"1879.230000006035","","","survey-likert-extra-labels","102","1301935","0.0-38.0-2.0","618","1A","man","","","M3 is touching W1","touch4","rating_volition","{""Q0"":3}","[0]","M3 wanted to touch W1","W1 wanted to touch M3"
"null","Ruth is chasing Kate","","html-keyboard-response","103","1303937","0.0-39.0-0.0","618","1A","man","","null","W1 is chasing W3","chase","sentence","","","",""
"6896.464999997988","","","survey-likert-extra-labels","104","1310835","0.0-39.0-1.0-0.0","618","1A","man","","","W1 is chasing W3","chase","rating_causation","{""Q0"":6}","[0]","W1 is running away from W3","W3 is running away from W1"
"4654.85500000068","","","survey-likert-extra-labels","105","1315493","0.0-39.0-2.0","618","1A","man","","","W1 is chasing W3","chase","rating_volition","{""Q0"":0}","[0]","W1 is behind W3","W3 is behind W1"
"null","Ruth is shouting at Kate","","html-keyboard-response","106","1317495","0.0-40.0-0.0","618","1A","man","","null","W1 is shouting at W3","shout1","sentence","","","",""
"4316.500000000931","","","survey-likert-extra-labels","107","1321813","0.0-40.0-2.0","618","1A","man","","","W1 is shouting at W3","shout1","rating_volition","{""Q0"":3}","[0]","W1 wanted to shout at W3","W3 wanted to shout at W1"
"3874.7000000001863","","","survey-likert-extra-labels","108","1325690","0.0-40.0-3.0-0.0","618","1A","man","","","W1 is shouting at W3","shout1","rating_causation","{""Q0"":3}","[0]","W1 shouted at W3 first","W3 shouted at W1 first"
"null","Beth is arguing with Mike","","html-keyboard-response","109","1327693","0.0-41.0-0.0","618","1A","man","","null","W4 is arguing with M2","argue4","sentence","","","",""
